pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,825.169417345753
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,827.6044089855151
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,830.3737465595808
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,830.3737465595808
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,830.8417132668433
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,830.283308360476
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,829.7106572752402
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,826.1170590497604
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,828.5539976682355
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,831.3255495584481
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,828.4604019050873
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,825.4757346855738
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,829.0231099911464
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,830.6051655103334
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,828.7046959488121
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,828.7046959488121
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,831.4765992476315
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,831.4765992476315
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,831.9449995148093
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,831.2221008586604
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,830.6489981157906
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,828.5410885996334
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,828.5410885996334
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,831.3126103875927
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,831.3126103875927
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,831.7809461865085
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,831.2221008586604
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,830.6489981157906
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,829.3197373820524
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,830.6700533929438
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,830.9133500178536
